Block,Cardinal directions,latitude,longitude,,Correct,"If Not Correct, notes on why"
161,NE,45.98567101,-112.540858,,X,
161,NW,45.98567101,-112.540994,,X,
162,SE,45.98542199,-112.540858,,X,
162,SW,45.98542199,-112.540994,,X,
162,NE,45.98554201,-112.540858,,X,
162,NW,45.98554201,-112.540994,,X,
163,SE,45.98527999,-112.540858,,X,
163,SW,45.98527999,-112.540994,,X,
163,NE,45.98540001,-112.540858,,X,
163,NW,45.98540001,-112.540994,,X,
164,SE,45.98514799,-112.540858,,X,
164,SW,45.98514799,-112.540994,,X,
164,NE,45.98526801,-112.540858,,X,
164,NW,45.98526801,-112.540994,,X,
165,SE,45.98501099,-112.540858,,X,
165,SW,45.98501099,-112.540994,,X,
165,NE,45.98513101,-112.540858,,X,
165,NW,45.98513101,-112.540994,,X,
166,SE,45.98486399,-112.540858,,X,
166,SW,45.98486399,-112.540994,,X,
166,NE,45.98498401,-112.540858,,X,
